archetype,opp_archetype,w,l,d,matches,matches_wl,p_win,p_lose,p_draw,p_win_nodraw,p_lose_nodraw
Ad Nauseam Tendrils,Ad Nauseam Tendrils,10,10,2,22,20,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.5,0.5
Ad Nauseam Tendrils,Aluren,4,4,0,8,8,0.5,0.5,0.0,0.5,0.5
Ad Nauseam Tendrils,Artifact Echo,2,1,0,3,3,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
Ad Nauseam Tendrils,BUG Control,1,4,0,5,5,0.2,0.8,0.0,0.2,0.2
Ad Nauseam Tendrils,BUG Delver,9,18,0,27,27,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
Ad Nauseam Tendrils,BUG Urza,2,1,0,3,3,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
Ad Nauseam Tendrils,Bant Control,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
Ad Nauseam Tendrils,Bant Loam,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
Ad Nauseam Tendrils,Bant Stoneblade,2,4,0,6,6,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
Ad Nauseam Tendrils,Bomberman,1,3,0,4,4,0.25,0.75,0.0,0.25,0.25
Ad Nauseam Tendrils,Buried Phoenix,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,Burn,1,4,0,5,5,0.2,0.8,0.0,0.2,0.2
Ad Nauseam Tendrils,Death and Taxes,10,7,0,17,17,0.5882352941176471,0.4117647058823529,0.0,0.5882352941176471,0.5882352941176471
Ad Nauseam Tendrils,Death's Shadow,3,5,0,8,8,0.375,0.625,0.0,0.375,0.375
Ad Nauseam Tendrils,Dredge,4,5,0,9,9,0.4444444444444444,0.5555555555555556,0.0,0.4444444444444444,0.4444444444444444
Ad Nauseam Tendrils,Eldrazi Post,4,4,0,8,8,0.5,0.5,0.0,0.5,0.5
Ad Nauseam Tendrils,Eldrazi Stompy,6,6,0,12,12,0.5,0.5,0.0,0.5,0.5
Ad Nauseam Tendrils,Elves,6,4,0,10,10,0.6,0.4,0.0,0.6,0.6
Ad Nauseam Tendrils,Esper Hatebears,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,Food Chain,2,1,0,3,3,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
Ad Nauseam Tendrils,Goblins,4,0,0,4,4,1.0,0.0,0.0,1.0,1.0
Ad Nauseam Tendrils,Golgari Depths,9,8,1,18,17,0.5,0.4444444444444444,0.05555555555555555,0.5294117647058824,0.5294117647058824
Ad Nauseam Tendrils,Grixis Control,7,1,1,9,8,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.875,0.875
Ad Nauseam Tendrils,Grixis Delver,14,10,0,24,24,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.5833333333333334
Ad Nauseam Tendrils,Hardened Scales,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,Helm of Obedience,3,0,0,3,3,1.0,0.0,0.0,1.0,1.0
Ad Nauseam Tendrils,High Tide,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
Ad Nauseam Tendrils,Hogaak,6,13,0,19,19,0.3157894736842105,0.6842105263157895,0.0,0.3157894736842105,0.3157894736842105
Ad Nauseam Tendrils,Humans,0,3,0,3,3,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,Infect,6,8,0,14,14,0.42857142857142855,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855
Ad Nauseam Tendrils,Jeskai Mentor,8,3,0,11,11,0.7272727272727273,0.2727272727272727,0.0,0.7272727272727273,0.7272727272727273
Ad Nauseam Tendrils,Jeskai Stoneblade,1,1,0,2,2,0.5,0.5,0.0,0.5,0.5
Ad Nauseam Tendrils,Lands,8,3,1,12,11,0.6666666666666666,0.25,0.08333333333333333,0.7272727272727273,0.7272727272727273
Ad Nauseam Tendrils,Manaless Dredge,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Ad Nauseam Tendrils,Maverick,2,4,0,6,6,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
Ad Nauseam Tendrils,Merfolk,0,4,0,4,4,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,Miracles,9,15,1,25,24,0.36,0.6,0.04,0.375,0.375
Ad Nauseam Tendrils,Mono-Blue Delver,3,0,0,3,3,1.0,0.0,0.0,1.0,1.0
Ad Nauseam Tendrils,Mono-Red Prison,3,17,1,21,20,0.14285714285714285,0.8095238095238095,0.047619047619047616,0.15,0.15
Ad Nauseam Tendrils,Ninjas,0,2,0,2,2,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,Omni-Tell,2,6,0,8,8,0.25,0.75,0.0,0.25,0.25
Ad Nauseam Tendrils,Oracle Opposition,0,0,1,1,0,0.0,0.0,1.0,,
Ad Nauseam Tendrils,Other,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Ad Nauseam Tendrils,Painter,3,6,0,9,9,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
Ad Nauseam Tendrils,Power Artifact Karn,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,Pox,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,RUG Delver,3,6,0,9,9,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333
Ad Nauseam Tendrils,Reanimator,7,18,0,25,25,0.28,0.72,0.0,0.28,0.28
Ad Nauseam Tendrils,Reanimator Depths,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,Selesnya Depths,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0
Ad Nauseam Tendrils,Sneak and Show,14,10,0,24,24,0.5833333333333334,0.4166666666666667,0.0,0.5833333333333334,0.5833333333333334
Ad Nauseam Tendrils,Stryfo Pile,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Ad Nauseam Tendrils,The Epic Storm,3,3,0,6,6,0.5,0.5,0.0,0.5,0.5
Ad Nauseam Tendrils,Tin Fins,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
Ad Nauseam Tendrils,Turbo Depths,3,3,1,7,6,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.5,0.5
Ad Nauseam Tendrils,U/G Eldrazi,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,UR Delver,18,15,0,33,33,0.5454545454545454,0.45454545454545453,0.0,0.5454545454545454,0.5454545454545454
Ad Nauseam Tendrils,UW Stoneblade,8,6,0,14,14,0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,0.5714285714285714
Ad Nauseam Tendrils,Unknown,2,2,0,4,4,0.5,0.5,0.0,0.5,0.5
Ad Nauseam Tendrils,Urza ThopterSword,0,1,0,1,1,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,White Eldrazi,0,5,0,5,5,0.0,1.0,0.0,0.0,0.0
Ad Nauseam Tendrils,Wishclaw Foundry,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0
